"","predictor_value"
"bio10",0.320182768063332
"bio6",0.193099527938827
"bio8",0.108256343387886
"bio17",0.0558638190168617
"bio19",0.0279932753646197
"northamerica_elevation_cec_2023",0.000928944971324163
"bio15",9.00601044922839e-05
"bio16",-0.0111248166519451
"bio2",-0.0371013209413867
