"","predictor_value"
"I(bio9^2)",0.00379077993672555
"I(bio1^2)",0.0032565422033761
"I(bio12^2)",1.37409870939067e-05
"I(northamerica_elevation_cec_2023^2)",-4.72685861134911e-07
"I(bio15^2)",-8.89903856169596e-05
"I(bio13^2)",-0.000112427659443497
"I(bio5^2)",-0.000167375711046303
"I(bio17^2)",-0.000522410726767497
"I(bio8^2)",-0.000601508874096134
"I(bio7^2)",-0.000718173453115197
"I(bio2^2)",-0.00116536088794529
"I(bio6^2)",-0.00765086018837838
