"","predictor_value"
"I(bio14^2)",0.114519896250644
"I(bio5^2)",0.00234155591609764
"I(bio1^2)",0.000913732114886029
"I(bio15^2)",8.62368508875032e-05
"I(bio19^2)",2.22556542297538e-05
"I(northamerica_elevation_cec_2023^2)",-4.60610716770069e-07
"I(bio18^2)",-5.70623654879409e-07
"I(bio13^2)",-5.00014086120085e-05
"I(bio8^2)",-0.000326803889856413
"I(bio7^2)",-0.000533960392177618
"I(bio3^2)",-0.00110141531306966
