"","predictor_value"
"bio14",0.32049220962122
"bio1",0.27947169839756
"bio10",0.234027102659553
"bio6",0.0730117056404582
"bio17",0.0532552758331391
"bio15",0.0215636846459571
"bio19",0.0186124803093589
"bio2",0.00475543736428236
"northamerica_elevation_cec_2023",0.000197091516268125
"bio5",8.04723824327257e-05
"bio9",2.59261060170025e-05
"bio16",-0.0121122691175558
