x,y,species cloglog values
219.0,219.0,0.0029924302
220.0,220.0,0.15399921
221.0,221.0,9.1897906E-4
222.0,222.0,0.0048636897
223.0,223.0,0.0017567254
224.0,224.0,0.61007255
225.0,225.0,0.44542563
226.0,226.0,0.2787259
227.0,227.0,0.011042596
228.0,228.0,0.01219002
229.0,229.0,0.003261682
230.0,230.0,0.0031673582
231.0,231.0,4.9302605E-4
232.0,232.0,0.13616501
233.0,233.0,0.055682503
234.0,234.0,0.050195336
235.0,235.0,0.00390641
236.0,236.0,0.14509603
237.0,237.0,0.0067985724
238.0,238.0,0.003406856
239.0,239.0,2.9457973E-5
240.0,240.0,0.33485195
241.0,241.0,0.0023657873
242.0,242.0,0.0037770767
243.0,243.0,0.027152311
244.0,244.0,0.14533956
245.0,245.0,3.6170115E-4
246.0,246.0,0.0065942295
247.0,247.0,0.1334248
248.0,248.0,0.11262029
249.0,249.0,0.022629052
250.0,250.0,0.4158676
251.0,251.0,0.024300285
252.0,252.0,0.0010001708
253.0,253.0,0.13707605
254.0,254.0,0.0038198605
255.0,255.0,0.08239835
256.0,256.0,2.773351E-4
257.0,257.0,0.15148585
258.0,258.0,0.43692434
259.0,259.0,0.31583542
260.0,260.0,0.0051795025
261.0,261.0,0.20463945
262.0,262.0,0.05540242
263.0,263.0,0.008088278
264.0,264.0,3.7289927E-5
265.0,265.0,0.026311869
266.0,266.0,0.015337032
267.0,267.0,0.3032071
268.0,268.0,5.0580666E-6
269.0,269.0,0.5494845
270.0,270.0,0.0011637419
271.0,271.0,0.004692007
272.0,272.0,0.03512533
273.0,273.0,0.24614018
274.0,274.0,0.01712482
275.0,275.0,1.8624609E-4
276.0,276.0,0.48844707
277.0,277.0,0.06184991
278.0,278.0,0.10079597
279.0,279.0,0.1459485
280.0,280.0,0.112255655
281.0,281.0,0.83349806
282.0,282.0,0.022632629
283.0,283.0,0.019075206
284.0,284.0,5.609638E-4
285.0,285.0,0.0037319884
286.0,286.0,0.073895596
287.0,287.0,4.990234E-4
288.0,288.0,0.011382888
289.0,289.0,0.4460502
290.0,290.0,0.017961824
291.0,291.0,0.04573795
292.0,292.0,0.6692174
293.0,293.0,0.039650857
294.0,294.0,1.5909693E-4
295.0,295.0,0.008788717
296.0,296.0,1.451744E-4
297.0,297.0,4.0892242E-5
298.0,298.0,0.8345227
299.0,299.0,0.082955286
300.0,300.0,7.399273E-4
301.0,301.0,0.019422352
302.0,302.0,1.0117847E-4
303.0,303.0,0.011184814
304.0,304.0,0.0067974664
305.0,305.0,0.035388548
306.0,306.0,0.7328837
307.0,307.0,1.9730967E-4
308.0,308.0,0.005116797
309.0,309.0,0.03101826
310.0,310.0,6.1174826E-5
311.0,311.0,0.39280844
312.0,312.0,0.23694628
313.0,313.0,0.0010250738
314.0,314.0,3.205698E-4
315.0,315.0,1.4278809E-4
316.0,316.0,0.001405036
317.0,317.0,0.022321295
318.0,318.0,2.9823108E-4
319.0,319.0,6.958163E-4
320.0,320.0,0.037974514
321.0,321.0,0.051442474
322.0,322.0,0.0058473265
323.0,323.0,0.0032689297
324.0,324.0,2.0458025E-4
325.0,325.0,1.5316657E-5
326.0,326.0,0.027791101
327.0,327.0,0.017453117
328.0,328.0,0.030857187
329.0,329.0,0.018024318
330.0,330.0,0.3168746
331.0,331.0,0.049922764
332.0,332.0,6.162614E-5
333.0,333.0,0.28272003
334.0,334.0,0.0043476876
335.0,335.0,0.07788907
336.0,336.0,0.097144715
337.0,337.0,0.0028992482
338.0,338.0,0.3663198
339.0,339.0,0.33328742
340.0,340.0,0.5022847
341.0,341.0,6.238507E-5
342.0,342.0,0.7934353
343.0,343.0,5.9442795E-5
344.0,344.0,0.0018570288
345.0,345.0,0.0012654753
346.0,346.0,0.41307488
347.0,347.0,0.14661601
348.0,348.0,0.23206101
349.0,349.0,0.28771505
350.0,350.0,7.079954E-4
351.0,351.0,0.054409247
352.0,352.0,0.045422293
353.0,353.0,3.2340435E-4
354.0,354.0,0.06296594
355.0,355.0,6.588556E-4
356.0,356.0,0.0026355
357.0,357.0,3.8040773E-5
358.0,358.0,0.04256314
359.0,359.0,0.40427738
360.0,360.0,3.0687446E-4
361.0,361.0,0.35384637
362.0,362.0,0.451197
363.0,363.0,0.029989902
364.0,364.0,5.4852007E-5
365.0,365.0,2.5940064E-4
366.0,366.0,3.7607806E-5
367.0,367.0,3.914983E-5
368.0,368.0,4.540125E-6
369.0,369.0,0.072006546
370.0,370.0,7.458677E-4
371.0,371.0,0.037058894
372.0,372.0,0.5646003
373.0,373.0,0.37460062
374.0,374.0,7.5895316E-4
375.0,375.0,3.894482E-4
376.0,376.0,0.0990757
377.0,377.0,0.049452424
378.0,378.0,0.0014333194
379.0,379.0,0.017648079
380.0,380.0,0.13385017
381.0,381.0,0.8573427
382.0,382.0,0.029327046
383.0,383.0,3.6498436E-4
384.0,384.0,0.27440077
385.0,385.0,0.07428617
386.0,386.0,0.13239215
387.0,387.0,0.533972
388.0,388.0,3.5767202E-4
389.0,389.0,0.029954167
390.0,390.0,0.001162114
391.0,391.0,4.7327066E-4
392.0,392.0,0.008723311
393.0,393.0,0.003335669
394.0,394.0,0.022167
395.0,395.0,4.1095106E-4
396.0,396.0,0.12536332
397.0,397.0,0.002556974
398.0,398.0,2.502038E-4
399.0,399.0,0.3628974
400.0,400.0,0.28407085
401.0,401.0,0.00560173
402.0,402.0,0.011262809
403.0,403.0,0.010997438
404.0,404.0,0.019035595
405.0,405.0,0.8941614
406.0,406.0,0.0019692772
407.0,407.0,9.0074015E-4
408.0,408.0,0.13960394
409.0,409.0,0.40456885
410.0,410.0,9.380038E-4
411.0,411.0,0.065753646
412.0,412.0,0.029102363
413.0,413.0,0.0012062178
414.0,414.0,3.6398033E-5
415.0,415.0,0.31582582
416.0,416.0,6.550606E-5
417.0,417.0,0.009710165
418.0,418.0,0.6827559
419.0,419.0,0.7074786
420.0,420.0,0.026950583
421.0,421.0,0.042602725
422.0,422.0,0.010829719
423.0,423.0,0.006876467
424.0,424.0,1.17319156E-4
425.0,425.0,0.0012997235
426.0,426.0,0.07769273
427.0,427.0,0.012556807
428.0,428.0,7.5056165E-4
429.0,429.0,0.17193492
430.0,430.0,4.4814858E-4
431.0,431.0,0.0072257337
432.0,432.0,0.026027692
433.0,433.0,0.33995637
434.0,434.0,0.0061845738
435.0,435.0,0.0014538117
436.0,436.0,4.7609213E-4
437.0,437.0,0.11461096
438.0,438.0,0.020787492
439.0,439.0,0.0017046314
440.0,440.0,0.07595069
441.0,441.0,0.45221445
442.0,442.0,0.08802859
443.0,443.0,0.036533564
444.0,444.0,0.15703934
445.0,445.0,2.9757712E-4
446.0,446.0,5.545897E-4
447.0,447.0,0.00216159
448.0,448.0,2.8850964E-5
449.0,449.0,0.753261
450.0,450.0,0.588063
451.0,451.0,0.050686482
452.0,452.0,5.0589653E-5
453.0,453.0,0.013576802
454.0,454.0,0.002648843
455.0,455.0,0.12490522
456.0,456.0,0.72178924
457.0,457.0,0.6371392
458.0,458.0,0.003904883
459.0,459.0,0.015316537
460.0,460.0,8.608952E-5
461.0,461.0,0.44863394
462.0,462.0,0.026691891
463.0,463.0,3.4137667E-4
464.0,464.0,0.055104073
465.0,465.0,0.030877857
466.0,466.0,7.724957E-5
467.0,467.0,0.01631164
468.0,468.0,0.17740305
469.0,469.0,0.058901023
470.0,470.0,0.0039228415
471.0,471.0,0.06033036
472.0,472.0,0.061450515
473.0,473.0,0.059314873
474.0,474.0,0.27031136
475.0,475.0,0.12824641
476.0,476.0,0.018327028
477.0,477.0,0.18987043
478.0,478.0,7.7715365E-4
479.0,479.0,0.0014932973
480.0,480.0,0.04503407
481.0,481.0,0.0025905417
482.0,482.0,0.106313646
483.0,483.0,0.15677296
484.0,484.0,1.2493621E-4
485.0,485.0,0.2769912
486.0,486.0,0.030385539
487.0,487.0,0.21246997
488.0,488.0,0.011248729
489.0,489.0,0.28737733
490.0,490.0,3.611075E-5
491.0,491.0,2.5991054E-4
492.0,492.0,9.6517865E-4
493.0,493.0,0.023420148
494.0,494.0,0.27500543
495.0,495.0,0.08280454
496.0,496.0,0.1323473
497.0,497.0,0.005598848
498.0,498.0,0.071947016
499.0,499.0,2.9310602E-4
500.0,500.0,0.0010346372
501.0,501.0,0.026911044
502.0,502.0,0.45115548
503.0,503.0,1.5080317E-4
504.0,504.0,0.009582118
505.0,505.0,0.029768813
506.0,506.0,0.0028249975
507.0,507.0,0.0011839881
508.0,508.0,4.5590175E-5
509.0,509.0,0.64829254
510.0,510.0,0.37364906
511.0,511.0,0.0030861923
512.0,512.0,2.3001735E-4
513.0,513.0,0.0021395532
514.0,514.0,0.0013114427
515.0,515.0,0.04595125
516.0,516.0,0.20550697
517.0,517.0,0.012782751
518.0,518.0,0.054522578
519.0,519.0,0.24186762
520.0,520.0,1.4783237E-4
521.0,521.0,2.4565008E-5
522.0,522.0,4.954302E-5
523.0,523.0,0.7167294
524.0,524.0,9.372866E-5
525.0,525.0,0.030018808
526.0,526.0,2.5423063E-4
527.0,527.0,4.3859365E-4
528.0,528.0,0.23352909
529.0,529.0,0.0628938
530.0,530.0,4.2759636E-4
531.0,531.0,6.9847325E-4
532.0,532.0,0.044838134
533.0,533.0,7.2969706E-4
534.0,534.0,0.06504355
535.0,535.0,0.0019407611
536.0,536.0,0.01788087
537.0,537.0,0.47761732
538.0,538.0,4.821822E-5
539.0,539.0,0.002622933
540.0,540.0,0.018002914
541.0,541.0,0.039205052
542.0,542.0,0.5057764
543.0,543.0,4.8857128E-5
544.0,544.0,0.4344342
545.0,545.0,0.002774683
546.0,546.0,2.0876348E-4
547.0,547.0,0.0041374573
548.0,548.0,0.041380584
549.0,549.0,0.002215086
550.0,550.0,0.06965342
551.0,551.0,0.0065554236
552.0,552.0,0.6066831
553.0,553.0,0.01226909
554.0,554.0,0.0010882319
555.0,555.0,0.42076585
556.0,556.0,0.0022457517
557.0,557.0,0.60780406
558.0,558.0,0.019201718
559.0,559.0,0.10347245
560.0,560.0,8.9055335E-5
561.0,561.0,3.7175106E-4
562.0,562.0,0.42348602
563.0,563.0,0.4890551
564.0,564.0,0.008547625
565.0,565.0,0.07417064
566.0,566.0,0.061686438
567.0,567.0,0.067087755
