x,y,species cloglog values
216.0,216.0,0.031292092
217.0,217.0,1.3469023E-4
218.0,218.0,0.23222342
219.0,219.0,0.032748614
220.0,220.0,0.3450664
221.0,221.0,0.1191707
222.0,222.0,3.235581E-5
223.0,223.0,0.0054339315
224.0,224.0,0.3983225
225.0,225.0,0.36187673
226.0,226.0,0.15761171
227.0,227.0,0.16504088
228.0,228.0,0.0012801682
229.0,229.0,5.252084E-4
230.0,230.0,0.03887441
231.0,231.0,9.273151E-5
232.0,232.0,0.1272129
233.0,233.0,0.28343347
234.0,234.0,0.09870736
235.0,235.0,1.528505E-4
236.0,236.0,1.338548E-4
237.0,237.0,2.0906424E-4
238.0,238.0,0.0038145944
239.0,239.0,0.4218552
240.0,240.0,0.0025870604
241.0,241.0,0.04118439
242.0,242.0,0.09285168
243.0,243.0,0.67168856
244.0,244.0,7.4747475E-10
245.0,245.0,0.0026188474
246.0,246.0,0.035375237
247.0,247.0,4.5449196E-5
248.0,248.0,0.42263672
249.0,249.0,0.014844858
250.0,250.0,9.3956505E-9
251.0,251.0,0.028551886
252.0,252.0,0.030976983
253.0,253.0,0.10270983
254.0,254.0,0.039447583
255.0,255.0,0.0016341801
256.0,256.0,3.2629224E-4
257.0,257.0,0.005282353
258.0,258.0,0.01440686
259.0,259.0,0.45357177
260.0,260.0,0.35221502
261.0,261.0,3.9590415E-8
262.0,262.0,0.0011822293
263.0,263.0,0.06600244
264.0,264.0,2.2110482E-5
265.0,265.0,0.6065868
266.0,266.0,0.04159549
267.0,267.0,0.03383904
268.0,268.0,0.035867676
269.0,269.0,6.550022E-4
270.0,270.0,0.057603326
271.0,271.0,0.25812653
272.0,272.0,5.282527E-4
273.0,273.0,0.00796484
274.0,274.0,0.12013271
275.0,275.0,0.05513984
276.0,276.0,0.0015462349
277.0,277.0,0.45097187
278.0,278.0,0.51259005
279.0,279.0,1.6625401E-7
280.0,280.0,3.70664E-4
281.0,281.0,2.0352485E-4
282.0,282.0,0.01354412
283.0,283.0,6.6288665E-4
284.0,284.0,0.21575707
285.0,285.0,1.4825247E-5
286.0,286.0,0.014679299
287.0,287.0,0.14152108
288.0,288.0,8.313348E-4
289.0,289.0,2.7790124E-8
290.0,290.0,0.0057450463
