"species","current.km","future.km","percent_change"
"centris_pallida",159161.430517324,263215.118789661,65.3762
"olneya_tesota",154807.079781958,227872.951861914,47.198
"parkinsonia_florida",190663.636677603,253701.28772563,33.0622
"parkinsonia_microphylla",166283.172482505,382006.047502571,129.7322
