"species","current.m","future.m"
"centris_pallida",496.364533268524,765.436404539065
"olneya_tesota",329.346425440525,422.486687899682
"parkinsonia_florida",389.867373340301,661.67973623088
"parkinsonia_microphylla",448.418722656872,662.96156240212
