x,y,species cloglog values
220.0,220.0,1.7663487E-4
221.0,221.0,0.2488391
222.0,222.0,0.03664765
223.0,223.0,0.014655834
224.0,224.0,4.2897213E-5
225.0,225.0,0.18127331
226.0,226.0,1.7040699E-4
227.0,227.0,3.9053304E-4
228.0,228.0,0.24353369
229.0,229.0,3.3863905E-4
230.0,230.0,0.23241557
231.0,231.0,0.07972491
232.0,232.0,0.020271214
233.0,233.0,0.06509938
234.0,234.0,0.015255668
235.0,235.0,3.9410125E-4
236.0,236.0,0.56122684
237.0,237.0,0.2153052
238.0,238.0,0.0067759897
239.0,239.0,0.028862163
240.0,240.0,0.09433726
241.0,241.0,0.03562122
242.0,242.0,0.05946452
243.0,243.0,0.05400852
244.0,244.0,0.19410579
245.0,245.0,0.17768686
246.0,246.0,0.10593775
247.0,247.0,2.0030428E-4
248.0,248.0,0.60310364
249.0,249.0,6.774951E-5
250.0,250.0,0.058784273
251.0,251.0,2.983443E-4
252.0,252.0,0.062701866
253.0,253.0,3.7204297E-4
254.0,254.0,0.05734562
255.0,255.0,1.3262492E-5
256.0,256.0,0.024795908
257.0,257.0,0.026489537
258.0,258.0,0.04024768
259.0,259.0,0.028566662
260.0,260.0,0.020186653
261.0,261.0,0.1536593
262.0,262.0,1.8202944E-4
263.0,263.0,0.024527028
264.0,264.0,3.6324456E-4
265.0,265.0,0.3614753
266.0,266.0,7.5868634E-4
267.0,267.0,0.017586268
268.0,268.0,0.09940118
269.0,269.0,0.02455236
270.0,270.0,0.15155816
271.0,271.0,0.026848618
272.0,272.0,0.031650107
273.0,273.0,1.0519362E-4
274.0,274.0,0.009561614
275.0,275.0,0.01855089
276.0,276.0,0.17017229
277.0,277.0,0.0061589004
278.0,278.0,0.073935084
279.0,279.0,0.34013957
280.0,280.0,0.3319848
281.0,281.0,0.67198974
282.0,282.0,0.049339395
283.0,283.0,0.024579842
284.0,284.0,4.2418594E-4
285.0,285.0,1.7006342E-4
286.0,286.0,0.36748323
287.0,287.0,3.103117E-5
288.0,288.0,9.677715E-5
289.0,289.0,0.04272671
290.0,290.0,0.14564994
291.0,291.0,0.003233949
292.0,292.0,0.077703595
293.0,293.0,0.0038994818
294.0,294.0,0.005110911
295.0,295.0,0.16137196
296.0,296.0,0.0072020977
297.0,297.0,0.083690606
298.0,298.0,0.07037815
299.0,299.0,0.14962521
300.0,300.0,0.09570302
301.0,301.0,0.12951651
302.0,302.0,0.002733551
303.0,303.0,0.39664757
304.0,304.0,0.0059841024
305.0,305.0,0.41572
306.0,306.0,3.603507E-4
307.0,307.0,8.5586566E-5
308.0,308.0,0.0054776315
309.0,309.0,0.015054808
310.0,310.0,1.455096E-4
311.0,311.0,1.0997238E-5
312.0,312.0,0.022791388
313.0,313.0,0.04368515
314.0,314.0,0.008038204
315.0,315.0,0.06885113
316.0,316.0,0.0016237439
317.0,317.0,0.30803725
318.0,318.0,0.011825209
319.0,319.0,0.0010363733
320.0,320.0,0.029660972
321.0,321.0,0.0012283884
322.0,322.0,0.29584596
323.0,323.0,0.36829713
324.0,324.0,0.0019495536
325.0,325.0,0.64430815
326.0,326.0,0.059498888
327.0,327.0,0.0026076913
328.0,328.0,0.013854717
329.0,329.0,0.11216125
330.0,330.0,8.4345095E-4
331.0,331.0,0.08955536
332.0,332.0,0.0011872676
333.0,333.0,0.0059808823
334.0,334.0,5.9528655E-4
335.0,335.0,0.5749972
336.0,336.0,0.09909108
337.0,337.0,0.10160556
338.0,338.0,9.565376E-5
339.0,339.0,0.0032086363
340.0,340.0,0.3362521
341.0,341.0,0.4633887
342.0,342.0,0.13557373
343.0,343.0,0.11850086
344.0,344.0,0.05451703
345.0,345.0,0.02639129
346.0,346.0,0.02867179
347.0,347.0,7.199889E-4
348.0,348.0,0.05811271
349.0,349.0,0.5152282
350.0,350.0,0.042368863
351.0,351.0,0.015749682
352.0,352.0,0.0066449884
