Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
1.38686E-11,0.000000001,0.00000002,1,0,0
1.79414E-11,0.000000003,0.000000026,0.99984985,0,0
2.42951E-11,0.000000012,0.000000035,0.999249249,0,0
3.40294E-11,0.000000027,0.000000048,0.998498498,0,0
6.99995E-11,0.000000103,0.0000001,0.996246246,0,0
1.13073E-10,0.000000259,0.000000161,0.993993994,0,0
2.07555E-10,0.000001018,0.000000295,0.987087087,0,0
2.82247E-10,0.000002512,0.000000402,0.977927928,0,0
6.89366E-10,0.000010025,0.000000981,0.953153153,0,0
1.31993E-9,0.000025007,0.000001878,0.93003003,0,0
2.22127E-9,0.000050219,0.000003161,0.908258258,0,0
4.19456E-9,0.000100419,0.000005968,0.884684685,0,0
1.22735E-8,0.000250507,0.000017464,0.852102102,0,0
2.44275E-8,0.000500885,0.000034757,0.830780781,0,0
5.0721E-8,0.001001103,0.000072167,0.810510511,0,0
1.11345E-7,0.002503233,0.000158419,0.781981982,0,0
2.14421E-7,0.00501694,0.00030505,0.757507508,0,0
4.1585E-7,0.010005771,0.000591531,0.732732733,0,0
7.49461E-7,0.025029434,0.001065827,0.693693694,0,0
1.18769E-6,0.050062307,0.001688514,0.655555556,0,0
1.83662E-6,0.100000224,0.002609883,0.605255255,0.002309469,0
2.99865E-6,0.200275602,0.00425764,0.542042042,0.002309469,0
4.20395E-6,0.300088377,0.005963872,0.50015015,0.002309469,0
5.52143E-6,0.400216007,0.007825564,0.469219219,0.002309469,0
6.70353E-6,0.500580183,0.00949299,0.444444444,0.003464203,0
7.91518E-6,0.600645089,0.011199193,0.423873874,0.003464203,0
9.09652E-6,0.70046358,0.012859878,0.406156156,0.004618938,0
9.64072E-6,0.750956546,0.013623956,0.398048048,0.004618938,0
1.03713E-5,0.800935985,0.014648826,0.390540541,0.005773672,0
1.16025E-5,0.900809556,0.016373434,0.376876877,0.005773672,0
1.26897E-5,1.000683558,0.017893922,0.364564565,0.005773672,0
1.37777E-5,1.100035304,0.019413162,0.353303303,0.006928406,0
1.4887E-5,1.200062131,0.020959668,0.342792793,0.006928406,0
1.58809E-5,1.30152519,0.022343245,0.332882883,0.008083141,0
1.70216E-5,1.401451225,0.023928855,0.323723724,0.008083141,0
1.85883E-5,1.501057867,0.02610232,0.315315315,0.008083141,0
2.19465E-5,1.750052586,0.030744793,0.296696697,0.008083141,0
2.56835E-5,2.001380728,0.03588488,0.280930931,0.008083141,0
3.07694E-5,2.25264606,0.042836649,0.267567568,0.011547344,0
3.64211E-5,2.500170765,0.050503043,0.256456456,0.011547344,0
4.15611E-5,2.750084727,0.057422024,0.246846847,0.015011547,0
4.55431E-5,3.003370447,0.062747407,0.238138138,0.017321016,0
5.19145E-5,3.254743507,0.07120594,0.23033033,0.020785219,0
5.82736E-5,3.503152727,0.079572042,0.223573574,0.020785219,0
6.32666E-5,3.752356729,0.086087939,0.217417417,0.021939954,0
7.22037E-5,4.002952001,0.097636168,0.211861862,0.024249423,0
8.25103E-5,4.255771809,0.110772799,0.206906907,0.024249423,0
9.03664E-5,4.504683701,0.120657592,0.202552553,0.025404157,0
9.84549E-5,4.757769045,0.130719836,0.198498498,0.026558891,0
1.06947E-4,5.004480528,0.141160016,0.194894895,0.030023095,0
1.12922E-4,5.257445672,0.148430927,0.191441441,0.032332564,0
1.21622E-4,5.504314265,0.158907482,0.188288288,0.034642032,0
1.33346E-4,5.761109943,0.172822428,0.185285285,0.035796767,0
1.47756E-4,6.001457519,0.189610469,0.182732733,0.035796767,0
1.57105E-4,6.262424746,0.20031857,0.18003003,0.035796767,0
1.70157E-4,6.506724853,0.215032426,0.177927928,0.041570439,0
1.8392E-4,6.756248887,0.230255216,0.175825826,0.045034642,0
1.91171E-4,7.000485093,0.238156441,0.173873874,0.048498845,0
2.08284E-4,7.260454999,0.256482912,0.171921922,0.050808314,0
2.25211E-4,7.501763899,0.274177018,0.17027027,0.050808314,0
2.36402E-4,7.754934645,0.285643409,0.168618619,0.050808314,0
2.49789E-4,8.024156163,0.299121884,0.166966967,0.050808314,0
2.6123E-4,8.254181021,0.310438655,0.165615616,0.050808314,0
2.74248E-4,8.521840395,0.32309444,0.164114114,0.050808314,0
2.94798E-4,8.750400966,0.342600723,0.162912913,0.050808314,0
3.08911E-4,9.024630682,0.35567033,0.161561562,0.050808314,0
3.18344E-4,9.277320291,0.364260112,0.16021021,0.050808314,0
3.36824E-4,9.508455403,0.380759678,0.159309309,0.053117783,0
3.53127E-4,9.750741904,0.394959106,0.158258258,0.053117783,0
3.60027E-4,10.000841894,0.400869568,0.157207207,0.054272517,0
3.67831E-4,10.255041633,0.407486146,0.156156156,0.058891455,0
3.9182E-4,10.518669449,0.427369049,0.155105105,0.058891455,0
4.1409E-4,10.762528822,0.44522972,0.154204204,0.058891455,0
4.15558E-4,11.011584725,0.446387738,0.153303303,0.064665127,0
4.18669E-4,11.262016406,0.448833126,0.152402402,0.065819861,0
4.26383E-4,11.516290459,0.454849082,0.151501502,0.069284065,0
4.35916E-4,12.244522339,0.462194161,0.148948949,0.086605081,0
4.37444E-4,12.288266781,0.463362455,0.148798799,0.086605081,0
4.45972E-4,12.508685212,0.469834689,0.148048048,0.08891455,0
4.55572E-4,12.779718829,0.477027524,0.147147147,0.091224018,0
4.63914E-4,13.009586025,0.48319806,0.146396396,0.093533487,0
4.66921E-4,13.335781309,0.485404723,0.145345345,0.098152425,0
4.77397E-4,13.526218242,0.49301843,0.144744745,0.099307159,0
4.83613E-4,13.766697326,0.497482529,0.143993994,0.101616628,0
5.01285E-4,14.014270288,0.509960629,0.143243243,0.102771363,0
5.01585E-4,14.566013887,0.510170091,0.141441441,0.102771363,0
5.04215E-4,15.473314744,0.511999436,0.138888889,0.133949192,0
5.04299E-4,15.523744598,0.512057644,0.138738739,0.133949192,0
5.08723E-4,15.776879168,0.515119494,0.137987988,0.136258661,0
5.14906E-4,16.547056306,0.519367029,0.135735736,0.151270208,0
5.21637E-4,16.754854766,0.523948228,0.135135135,0.153579677,0
5.33434E-4,17.017422782,0.531872593,0.134384384,0.158198614,0
5.34974E-4,17.338269833,0.532896985,0.133333333,0.158198614,0
