"","predictor_value"
"hinge(bio11):0.2026457041502:12.2519231885672",6.20316250066842
"hinge(bio18):7.04324293136597:20.629068958516",2.46269946849256
"hinge(bio15):101.531135714784:141.215606689453",2.13805181027505
"hinge(bio19):10.2652225494385:100.73795521016",1.02907854854395
"hinge(bio9):10.3617076873779:24.9608365662244",0.980285381663689
"hinge(northamerica_elevation_cec_2023):0.0371940918266773:58.5159321986899",0.949714475064483
"hinge(bio17):10.6534473652742:65.2523651123047",0.928748945109115
"hinge(bio2):18.1409027722417:20.1913223266602",0.644269464596163
"hinge(bio10):34.7732067108154:36.8959617614746",0.599932814877283
"hinge(bio15):134.94963758819:141.215606689453",0.592298325470881
"hinge(bio8):34.9046586259287:36.3813400268555",0.58748745083788
"hinge(bio3):33.3522796630859:44.5474598164461",0.494002808605224
"hinge(bio2):18.397205216544:20.1913223266602",0.439161274100039
"hinge(bio15):132.860981221102:141.215606689453",0.390891829303272
"hinge(bio15):120.329043018575:141.215606689453",0.32746062406899
"hinge(bio15):99.4424793476961:141.215606689453",0.27715778130128
"hinge(bio17):0:2.66336184131856",0.257477070465744
"hinge(bio15):38.8714447021484:59.7580083730269",0.241936661420341
"hinge(bio18):7.04324293136597:34.2148949856661",0.168220240111275
"hinge(bio19):10.2652225494385:30.3702742518211",0.0954233629908515
"hinge(bio5):41.5780320070228:46.5552062988281",0.0741792520546658
"hinge(bio8):33.427977225002:36.3813400268555",0.0598070860290786
"hinge(bio19):60.527851805395:502.838989257812",0.0517715339181017
"hinge(bio12):41.8176422119141:80.5133751071229",0.0461640522209559
"hinge(bio10):33.4995536804199:36.8959617614746",0.0269675437618535
"I(bio6^2)",0.01314312518838
"hinge(bio15):118.240386651487:141.215606689453",0.00555178212558793
"I(bio10^2)",0.000166372070966473
"I(bio4^2)",8.01942161158759e-06
"bio15",-0.000250052086565292
"I(bio8^2)",-0.000502863793502631
"hinge(bio17):0:5.32672368263712",-0.030866151718313
"hinge(bio15):38.8714447021484:91.0878538793447",-0.0521873879966459
"hinge(bio14):0:0.866632811877192",-0.132823305719803
"hinge(bio17):0:9.32176644461495",-0.136566601576122
"hinge(bio4):319.239349365234:545.559906628667",-0.149139854494963
"hinge(bio7):16.4017696380615:27.8531319365209",-0.325092475052091
"hinge(bio8):29.7362737226851:36.3813400268555",-0.343923796686671
"hinge(bio16):19.2664489746094:46.8371687908562",-0.418266281024615
"hinge(bio1):25.7518994856854:28.2878074645996",-0.745001051328912
"hinge(bio4):798.506411805445:971.575073242188",-1.3954190719537
"hinge(bio4):785.193437848772:971.575073242188",-1.41812220632366
"hinge(bio7):16.4017696380615:28.4257000514439",-2.46789409037357
"hinge(bio13):82.1293767423046:306.569915771484",-4.34390302907978
