"","fc","rm","tune.args","auc.train","cbi.train","auc.diff.avg","auc.diff.sd","auc.val.avg","auc.val.sd","cbi.val.avg","cbi.val.sd","or.10p.avg","or.10p.sd","or.mtp.avg","or.mtp.sd","AICc","delta.AICc","w.AIC","ncoef"
"1","L","1","fc.L_rm.1",0.774044491525424,0.999,0.186563994209539,0.123831674708533,0.618548099639739,0.121477475319371,0.422,0.638998695877647,0.201772374811827,0.276979721135349,0.00234375,0.0046875,25687.7744632961,874.801766548735,1.09448163129463e-190,13
"2","LQ","1","fc.LQ_rm.1",0.792754661016949,0.999,0.176201251976087,0.105720486473193,0.636654098343167,0.0897809880011379,0.4625,0.522635309433516,0.220475885462887,0.299186114895122,0.02421875,0.0484375,25544.8109988237,731.838302076339,1.21151932020033e-159,17
"3","Q","1","fc.Q_rm.1",0.774015292758089,0.989,0.232834594497447,0.161960231851876,0.56163321378979,0.140468509294841,0.32325,0.685373073588392,0.195023494972591,0.325976012653057,0.0015625,0.003125,25715.4897989443,902.5171021969,1.04930032927384e-196,12
"4","LQH","1","fc.LQH_rm.1",0.852562750385208,0.999,0.180800675928995,0.0991014002991462,0.678021617602172,0.100687459869477,0.59675,0.503965193903971,0.150840141860763,0.176523149263334,0.00775445046439628,0.0117186532337337,24812.9726967474,0,0.999996460608299,76
"5","H","1","fc.H_rm.1",0.852506124807396,0.999,0.177095248782828,0.0783064677434856,0.681885221820692,0.0793030687587506,0.57025,0.517518679212,0.153136433540217,0.178265462618006,0.00388448142414861,0.00465371822693914,24838.0758010317,25.1031042843424,3.53939170061281e-06,86
"6","L","2","fc.L_rm.2",0.764785477657935,0.998,0.196198833549402,0.13842815229083,0.60269861701383,0.135908040682063,0.47925,0.774895423051825,0.154296704965418,0.241540280462319,0.00234375,0.0046875,25759.8343685438,946.861671796367,2.46376266298621e-206,12
"7","LQ","2","fc.LQ_rm.2",0.777054892141757,0.999,0.200530988882146,0.120751325842416,0.616389122330311,0.135237738318635,0.45875,0.713375719145715,0.163744350955072,0.254951349574241,0.00234375,0.0046875,25666.9596010973,853.986904349946,3.62325061378295e-186,12
"8","Q","2","fc.Q_rm.2",0.763560516178737,0.989,0.221288319117065,0.151005984275821,0.574082241049682,0.144278052399844,0.3545,0.748309427977491,0.15304580321385,0.291766657965489,0.00078125,0.0015625,25808.7869230769,995.814226329476,5.77679179358323e-217,11
"9","LQH","2","fc.LQH_rm.2",0.841667758089368,0.999,0.130781669306794,0.053830021429682,0.716940164663105,0.0514365948170436,0.838,0.161623018162637,0.110400110079216,0.128005107459187,0.0015625,0.003125,24958.3688856632,145.396188915845,2.67680783564313e-32,47
"10","H","2","fc.H_rm.2",0.842486710323575,0.996,0.139565956091049,0.0449443183398148,0.708944899809103,0.0420728133342476,0.841,0.142473389328206,0.127444230966403,0.143745474176097,0.0015625,0.003125,24954.1489494961,141.176252748741,2.2078252230336e-31,47
"11","L","3","fc.L_rm.3",0.762061209553159,0.998,0.177677270734919,0.137086872104312,0.604622296710492,0.116405904425471,0.54475,0.770839099077536,0.137955760692972,0.22696038645217,0.00234375,0.0046875,25789.1263013405,976.153604593092,1.073832343115e-212,10
"12","LQ","3","fc.LQ_rm.3",0.772627388289676,0.999,0.204917234900584,0.128898609666005,0.605791586443406,0.143982878620384,0.5145,0.770836990982313,0.12012496241018,0.201904340870622,0.0015625,0.003125,25707.0654553182,894.092758570827,7.08309039563633e-195,11
"13","Q","3","fc.Q_rm.3",0.760755277349769,0.993,0.203993897419924,0.145421571744876,0.583169283531562,0.134115263181755,0.3875,0.762379826595641,0.138173530521635,0.259995839776177,0.00078125,0.0015625,25829.9543769909,1016.98168024348,1.46296016087001e-221,9
"14","LQH","3","fc.LQH_rm.3",0.835959437596302,0.999,0.132748125209257,0.0601789754212996,0.708227205166496,0.0578537764013247,0.7195,0.383550518185023,0.1206572061915,0.164907624956981,0.0015625,0.003125,25032.4440611279,219.471364380559,2.19987102586014e-48,31
"15","H","3","fc.H_rm.3",0.837764753466872,0.993,0.142782448489845,0.0491762932880272,0.6995158365281,0.0456865759412641,0.75975,0.274832524761293,0.135405537474821,0.183858069783095,0.00078125,0.0015625,25041.4525835637,228.479886816265,2.433444399736e-50,35
