"","predictor_value"
"hinge(bio11):0.942682981491089:12.7037473746708",4.64034734293727
"hinge(bio15):103.241805329615:142.983459472656",1.28777541017968
"hinge(bio15):105.333471337143:142.983459472656",1.14093831645411
"hinge(bio18):9.10754776000977:34.6759019968461",0.905547390604179
"hinge(bio10):35.130004921738:37.217529296875",0.743826308591284
"hinge(bio18):9.10754776000977:21.8917248784279",0.738462619299446
"hinge(bio9):10.7633218765259:24.8135405949184",0.691156949454613
"hinge(bio15):138.800127457599:142.983459472656",0.616282759956643
"hinge(northamerica_elevation_cec_2023):0.036726888269186:58.5122309473096",0.61558856623799
"hinge(bio19):11.3909502029419:98.4196368042304",0.59585839582637
"hinge(bio9):10.7633218765259:24.0106709538674",0.455887086677704
"hinge(bio2):18.2261668224724:20.2750072479248",0.410366084561971
"hinge(bio12):50.385311126709:87.8135090263522",0.195794824712766
"hinge(bio15):101.150139322086:142.983459472656",0.190962607229179
"hinge(bio15):122.066799397371:142.983459472656",0.15111997171743
"hinge(bio3):33.4579238891602:44.1843903210698",0.0970564010705256
"hinge(bio3):33.4579238891602:43.5884755192971",0.0555994961650349
"hinge(bio9):28.4264539796479:30.4336280822754",0.0446814826221254
"hinge(bio17):0:3.27123992297114",0.015263875387596
"hinge(bio2):18.482271875654:20.2750072479248",0.0117904130360926
"I(bio6^2)",0.00853008314553057
"bio19",0.00317951016925856
"I(bio10^2)",0.00123378455530201
"hinge(bio15):119.975133389843:142.983459472656",0.000954733741093158
"I(bio4^2)",6.52098282664894e-06
"I(bio8^2)",-0.000504375087458251
"hinge(bio7):16.5611000061035:28.5689375741141",-0.00709870574971931
"hinge(bio15):40.4918251037598:84.4168112618583",-0.0211314492968835
"hinge(bio14):0:1.01824351719448",-0.246076426276475
"hinge(bio8):29.6469443866185:37.0070114135742",-0.377883312584897
"hinge(bio1):26.0936477038325:28.5739707946777",-0.87246725130048
"hinge(bio4):799.538427236129:972.986450195312",-1.08670724497105
"hinge(bio13):88.4902460915702:282.890838623047",-1.15383586033396
"hinge(bio4):786.196271623884:972.986450195312",-1.35515876222278
"hinge(bio13):82.9359434478137:282.890838623047",-2.44922563421279
"hinge(bio7):16.5611000061035:27.9971357851612",-2.6304108528077
